年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,86.5,5.7,9.2,2.0,17.9,-2.5
1980/2,25.0,4.8,8.3,1.4,13.4,-2.6
1980/3,120.0,8.5,12.7,4.5,19.3,0.8
1980/4,190.5,13.9,18.7,9.2,23.8,4.1
1980/5,212.0,19.5,24.6,14.8,29.9,7.1
1980/6,157.5,23.9,27.8,20.8,31.4,15.0
1980/7,264.5,25.8,29.7,22.9,34.9,19.1
1980/8,195.0,26.6,30.6,23.8,34.2,21.7
1980/9,134.0,23.3,27.4,19.7,34.8,14.0
1980/10,193.0,18.7,22.7,15.3,27.9,8.2
1980/11,77.5,13.7,17.7,9.8,23.3,5.1
1980/12,46.5,6.8,10.2,3.4,19.5,-1.0
1981/1,8.5,3.7,7.1,0.5,9.9,-2.0
1981/2,59.0,5.1,8.7,1.6,17.6,-5.5
1981/3,110.5,9.3,13.5,5.4,19.9,0.0
1981/4,156.0,14.4,19.0,9.9,27.7,3.2
1981/5,126.5,18.5,23.6,13.9,31.2,9.1
1981/6,151.0,23.2,27.3,20.0,30.7,11.6
1981/7,65.5,28.3,32.7,24.9,35.4,21.8
1981/8,58.0,27.4,32.3,23.7,36.8,18.9
1981/9,131.0,23.1,27.6,19.6,33.7,13.0
1981/10,134.5,17.6,21.8,13.7,26.7,7.9
1981/11,79.0,11.1,14.8,7.6,23.3,2.0
1981/12,14.5,7.6,11.6,3.8,16.6,-0.1
1982/1,12.5,5.3,9.2,1.5,14.0,-2.7
1982/2,35.5,5.5,9.2,2.0,12.6,-1.1
1982/3,116.5,9.7,14.5,5.2,21.1,0.8
1982/4,110.5,14.0,19.0,9.5,25.6,4.5
1982/5,110.5,20.5,25.3,16.4,30.3,10.5
1982/6,108.0,22.3,27.1,18.4,30.9,14.2
1982/7,204.5,24.7,28.8,21.5,33.7,17.2
1982/8,300.5,27.2,31.4,23.9,34.6,21.0
1982/9,76.5,22.9,26.8,19.7,33.6,14.2
1982/10,27.5,18.4,23.0,14.5,27.4,7.4
1982/11,109.5,14.5,18.0,11.0,22.8,4.3
1982/12,29.5,8.6,12.3,5.0,17.7,0.6
1983/1,35.0,6.1,9.5,2.6,14.8,-2.5
1983/2,28.5,5.6,9.3,2.0,13.4,-2.2
1983/3,109.0,8.7,12.9,5.1,20.6,-0.7
1983/4,138.5,16.5,21.4,12.2,28.7,7.4
1983/5,108.5,20.1,25.6,15.4,31.7,10.9
1983/6,170.0,22.5,27.5,18.6,31.0,15.9
1983/7,165.5,26.7,30.7,23.5,34.7,19.3
1983/8,50.5,29.4,34.1,26.0,38.5,22.5
1983/9,325.5,24.9,28.9,21.9,34.9,17.1
1983/10,86.5,17.9,22.4,14.0,28.9,5.6
1983/11,16.0,12.6,17.0,8.6,21.0,3.1
1983/12,8.5,6.9,10.7,3.3,15.6,-1.4
1984/1,40.5,3.6,7.1,0.5,11.3,-2.1
1984/2,54.5,3.3,6.9,0.3,12.6,-2.9
1984/3,47.0,6.0,10.0,2.2,19.2,-2.2
1984/4,72.5,13.7,19.0,9.3,25.9,3.6
1984/5,153.0,18.9,23.9,14.5,28.7,9.3
1984/6,308.0,24.0,28.6,20.6,32.1,18.3
1984/7,138.5,27.5,32.0,24.2,34.9,22.2
1984/8,23.5,29.4,34.5,25.9,36.9,23.2
1984/9,97.5,24.1,28.4,20.7,35.4,15.2
1984/10,43.5,17.8,22.4,14.1,30.0,7.5
1984/11,42.0,13.6,18.2,9.6,24.7,2.2
1984/12,39.0,7.9,11.8,4.3,19.9,-1.6
1985/1,19.0,4.3,8.2,0.6,12.4,-2.7
1985/2,83.0,6.6,9.9,3.5,16.5,-0.1
1985/3,167.0,9.3,13.5,6.0,19.3,1.4
1985/4,191.5,15.5,20.6,10.6,26.1,4.0
1985/5,117.5,20.1,25.1,15.9,28.7,12.3
1985/6,269.0,22.5,26.6,19.3,30.2,16.2
1985/7,88.0,27.6,32.2,24.1,37.2,20.5
1985/8,38.5,29.2,34.6,25.5,38.1,23.1
1985/9,130.0,25.3,29.5,22.1,35.5,17.3
1985/10,66.0,19.0,23.5,15.0,29.9,10.4
