年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,35.5,4.5,8.6,1.1,15.1,-3.9
1980/2,38.0,3.5,7.8,-0.2,13.1,-4.7
1980/3,163.5,7.8,12.1,3.8,18.8,0.0
1980/4,122.5,12.3,17.1,7.7,21.1,2.1
1980/5,274.5,17.7,22.3,13.1,26.3,4.6
1980/6,145.0,21.8,25.2,19.1,28.2,11.6
1980/7,455.0,23.6,26.8,21.3,31.4,17.9
1980/8,426.5,24.3,27.2,22.3,30.0,19.8
1980/9,79.5,21.9,25.9,18.5,29.5,14.3
1980/10,135.0,16.8,20.9,13.1,26.1,5.0
1980/11,78.0,12.0,16.8,7.6,20.5,2.5
1980/12,32.5,4.8,8.6,1.5,16.5,-4.4
1981/1,23.5,2.1,6.1,-1.2,10.2,-3.0
1981/2,65.5,3.8,8.1,0.2,16.3,-7.5
1981/3,108.0,8.1,12.4,4.3,18.5,-2.3
1981/4,186.0,12.6,17.0,8.0,22.7,0.9
1981/5,124.0,16.6,21.4,12.0,26.0,7.1
1981/6,465.5,21.5,24.9,18.7,28.8,11.7
1981/7,187.0,26.6,30.2,23.7,34.2,20.3
1981/8,84.5,25.9,30.0,22.7,33.9,18.5
1981/9,67.0,21.4,25.8,17.9,31.4,12.7
1981/10,116.5,16.3,20.9,12.3,25.6,6.3
1981/11,84.0,10.0,14.4,6.3,21.3,2.0
1981/12,28.0,6.2,10.8,2.4,14.8,-0.6
1982/1,31.0,3.9,8.1,0.3,14.2,-3.6
1982/2,52.5,4.6,8.7,1.1,15.1,-2.4
1982/3,149.0,8.9,13.7,4.4,19.1,-1.3
1982/4,130.5,13.1,18.2,8.4,23.2,2.0
1982/5,79.5,19.1,23.6,15.1,27.3,8.9
1982/6,55.0,21.6,26.0,17.7,29.9,13.2
1982/7,512.0,23.8,27.2,20.9,31.7,16.6
1982/8,69.0,26.5,30.3,23.6,32.5,19.8
1982/9,184.0,21.6,25.3,18.6,31.3,14.7
1982/10,37.5,17.4,22.4,13.2,26.5,5.9
1982/11,144.5,13.2,17.1,9.8,23.0,4.3
1982/12,15.5,7.3,11.7,3.5,16.6,-0.3
1983/1,40.5,5.1,9.4,1.7,15.3,-2.2
1983/2,47.0,4.5,9.1,0.6,13.1,-2.6
1983/3,202.5,8.2,12.3,4.5,18.6,-0.6
1983/4,180.5,15.2,19.6,11.3,25.8,4.8
1983/5,127.0,18.7,23.5,14.4,27.9,8.9
1983/6,206.0,21.7,26.0,18.1,28.7,13.9
1983/7,246.0,25.0,28.4,22.0,32.8,19.1
1983/8,82.0,28.1,32.3,24.9,37.0,22.6
1983/9,391.0,23.6,27.2,20.8,32.6,16.2
1983/10,70.5,16.9,21.6,13.1,26.6,6.1
1983/11,16.0,10.9,16.0,6.7,21.0,0.9
1983/12,36.5,5.8,10.5,1.8,15.8,-2.3
1984/1,33.0,2.8,6.6,-0.2,11.4,-2.4
1984/2,52.5,2.4,6.7,-0.7,11.5,-4.8
1984/3,71.5,5.9,10.5,1.9,18.3,-2.7
1984/4,209.5,13.1,17.8,9.1,23.3,2.0
1984/5,92.0,18.0,22.7,13.6,26.6,9.6
1984/6,316.5,22.5,26.2,19.5,29.5,16.9
1984/7,71.0,26.7,30.5,23.8,33.4,21.2
1984/8,70.5,28.0,32.1,24.6,34.3,22.2
1984/9,127.5,22.7,26.8,19.3,31.2,13.9
1984/10,82.0,16.8,21.8,12.6,27.2,5.5
1984/11,46.0,12.4,17.2,8.4,22.3,2.4
1984/12,59.5,6.8,10.8,3.7,18.7,-1.0
1985/1,11.5,3.7,8.1,0.0,12.5,-4.8
1985/2,141.0,5.6,9.3,2.5,14.8,-1.4
1985/3,198.0,9.0,13.0,5.5,21.0,1.6
1985/4,179.0,13.8,18.7,9.3,23.8,0.9
1985/5,199.0,18.8,23.3,14.7,28.1,11.1
1985/6,658.5,21.0,24.5,18.1,28.7,13.9
1985/7,215.0,26.2,29.9,23.4,34.0,19.8
1985/8,26.0,28.1,32.3,24.7,34.7,22.2
1985/9,184.0,24.2,28.0,21.1,32.8,15.3
1985/10,126.5,17.9,22.4,14.1,27.0,9.3
1985/11,37.5,11.6,16.0,8.0,22.1,2.1
1985/12,30.5,5.2,9.2,1.8,15.1,-2.9
1986/1,18.0,3.0,7.1,-0.1,12.3,-3.8
1986/2,43.5,3.1,7.7,-0.4,11.3,-3.2
1986/3,78.0,7.8,12.5,3.6,18.6,-1.8
1986/4,180.5,13.7,18.2,9.3,23.5,1.7
1986/5,266.0,17.6,21.6,13.7,25.4,9.7
1986/6,361.0,22.0,26.0,18.7,30.6,12.9
1986/7,252.0,24.9,28.4,22.3,33.8,18.1
1986/8,53.5,27.1,31.3,23.8,33.3,19.2
1986/9,128.0,22.8,26.9,19.2,31.4,14.0
1986/10,51.5,15.7,20.6,11.7,26.1,3.5
1986/11,17.5,11.5,16.1,7.4,20.0,2.2
1986/12,53.5,7.9,12.5,3.9,17.1,0.0
1987/1,46.5,5.4,9.7,1.9,15.5,-1.8
1987/2,32.5,6.1,10.8,2.0,17.4,-2.6
1987/3,182.5,8.2,12.3,4.3,19.9,-1.7
1987/4,72.0,13.0,17.8,8.6,23.6,0.5
1987/5,178.5,18.2,22.8,13.9,28.2,6.5
1987/6,268.5,22.4,26.9,18.5,30.6,15.5
1987/7,390.5,25.4,28.6,23.2,32.3,20.9
1987/8,240.5,26.5,29.9,23.6,32.1,21.6
1987/9,220.5,22.4,26.7,18.7,31.9,10.4
1987/10,143.0,18.7,23.2,14.8,27.7,9.2
1987/11,84.5,12.6,17.2,8.8,20.7,4.0
1987/12,10.0,7.5,12.6,3.0,18.8,-0.1
1988/1,23.5,6.0,10.6,2.4,14.7,-1.6
1988/2,40.0,5.0,9.2,1.2,13.2,-4.2
1988/3,128.5,8.1,12.3,4.2,17.5,-1.5
1988/4,160.0,13.6,18.5,8.6,23.8,3.1
1988/5,176.0,18.3,23.0,13.9,27.6,8.7
1988/6,374.5,22.8,26.6,19.5,31.5,14.6
1988/7,142.0,26.8,30.3,24.0,33.4,19.5
1988/8,12.5,27.4,31.6,24.1,34.7,18.4
1988/9,175.5,24.2,28.6,20.6,31.8,15.9
1988/10,66.0,17.5,22.5,13.4,26.5,6.6
1988/11,16.5,10.3,15.7,5.8,21.1,1.7
1988/12,7.0,6.5,11.8,2.1,16.8,-2.5
1989/1,120.5,7.4,11.2,3.7,17.4,-0.8
1989/2,158.0,7.1,11.2,3.5,17.3,0.0
1989/3,83.5,9.0,14.2,4.4,19.3,-0.2
1989/4,0.0,15.3,21.1,10.1,28.3,5.1
1989/5,0.0,18.5,22.8,14.6,28.2,10.7
