年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,225.0,2.6,5.3,0.0,13.2,-3.2
1980/2,128.5,1.4,3.6,-0.8,9.8,-2.9
1980/3,95.5,4.3,8.2,0.6,19.3,-2.9
1980/4,140.5,10.0,14.6,5.5,23.3,0.0
1980/5,128.0,16.5,21.3,12.0,29.9,5.3
1980/6,119.5,21.6,25.3,18.2,31.1,13.3
1980/7,270.5,22.6,25.8,20.1,32.2,17.6
1980/8,250.0,23.9,27.2,21.0,32.5,17.7
1980/9,62.0,21.2,24.8,17.9,36.0,12.0
1980/10,233.5,15.6,18.9,12.0,25.7,5.9
1980/11,84.5,10.4,15.0,6.4,21.0,0.9
1980/12,287.0,4.7,7.4,2.0,15.9,-0.4
1981/1,132.5,1.2,3.3,-0.7,6.8,-2.7
1981/2,111.0,1.9,4.7,-0.7,10.3,-5.7
1981/3,73.0,5.2,9.0,1.5,18.0,-2.9
1981/4,93.0,10.5,15.1,5.9,25.3,-0.1
1981/5,160.5,14.9,19.4,11.0,28.8,6.2
1981/6,250.0,19.0,22.6,16.3,27.7,11.9
1981/7,102.0,25.7,29.5,22.4,36.1,18.1
1981/8,213.0,25.1,29.0,22.0,34.0,18.0
1981/9,119.0,20.2,23.7,16.7,29.8,11.9
1981/10,266.0,15.1,19.2,11.4,23.3,7.6
1981/11,268.5,7.8,10.8,5.1,18.8,0.3
1981/12,127.5,5.1,8.2,2.0,15.0,-1.0
1982/1,160.0,2.5,5.3,-0.4,14.0,-4.0
1982/2,61.5,2.0,4.7,-0.8,11.6,-5.6
1982/3,82.5,6.0,9.9,2.1,19.5,-1.1
1982/4,108.0,11.3,16.0,7.1,25.2,1.5
1982/5,110.0,17.5,22.4,13.6,27.4,9.1
1982/6,71.0,19.8,23.5,16.6,29.0,13.7
1982/7,152.5,23.6,27.5,19.8,32.4,15.1
1982/8,38.5,26.0,29.8,23.4,35.7,20.8
1982/9,143.0,20.9,24.4,17.7,28.7,14.1
1982/10,74.0,16.3,20.6,12.2,24.9,7.4
1982/11,170.0,11.4,14.5,8.0,20.0,0.5
1982/12,293.5,6.3,9.5,3.5,20.2,0.2
1983/1,184.0,2.9,5.5,0.4,12.4,-2.1
1983/2,262.0,1.5,4.0,-0.9,7.7,-7.0
1983/3,128.0,5.5,9.2,1.9,16.8,-1.0
1983/4,116.0,13.4,18.1,8.8,27.3,2.5
1983/5,84.5,17.0,21.8,12.5,29.3,7.3
1983/6,63.5,19.5,23.4,16.3,30.1,12.7
1983/7,271.0,23.0,26.1,20.6,31.4,17.1
1983/8,89.5,26.6,30.3,23.7,36.3,20.6
1983/9,172.5,22.8,26.3,19.6,32.7,13.2
1983/10,136.0,15.0,19.1,11.1,25.7,3.0
1983/11,205.5,9.3,12.9,5.7,18.8,-0.6
1983/12,120.5,3.7,6.7,0.9,13.4,-6.8
1984/1,231.5,0.5,2.7,-1.7,7.2,-8.3
1984/2,101.0,-0.2,1.9,-2.5,4.5,-6.4
1984/3,116.5,2.4,5.5,-0.6,16.2,-4.8
1984/4,70.5,9.2,13.6,5.1,22.0,-1.0
1984/5,74.0,15.2,19.5,11.8,27.0,6.8
1984/6,89.5,21.9,26.0,18.6,32.4,14.5
1984/7,307.0,25.5,28.9,22.7,34.6,17.5
1984/8,17.5,27.6,31.4,24.0,35.7,20.5
1984/9,217.5,21.6,25.4,18.2,33.1,11.4
1984/10,118.5,15.2,19.1,11.3,23.9,6.4
1984/11,126.0,9.3,13.2,5.4,21.5,0.5
1984/12,263.0,4.4,7.5,1.7,16.6,-3.6
1985/1,126.0,0.1,2.5,-2.4,7.4,-7.9
1985/2,79.5,3.2,5.9,0.4,10.6,-3.0
1985/3,153.0,5.0,8.2,2.0,16.9,-3.1
1985/4,80.5,11.9,16.2,7.8,24.9,1.0
