年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,97.0,-3.9,-0.8,-7.1,7.7,-11.4
1980/2,149.0,-5.7,-2.5,-9.4,3.8,-13.7
1980/3,108.0,-0.5,2.8,-4.2,12.9,-8.6
1980/4,86.0,4.1,7.9,0.9,14.8,-2.8
1980/5,28.0,12.3,17.4,7.6,27.2,0.7
1980/6,125.5,17.6,22.4,13.6,31.0,7.6
1980/7,86.0,19.4,23.7,16.2,28.8,13.0
1980/8,126.0,19.0,22.8,16.1,29.2,12.1
1980/9,35.0,16.9,21.5,12.5,25.9,5.1
1980/10,120.5,10.8,15.1,6.7,23.7,1.0
1980/11,48.0,5.1,9.3,0.4,16.8,-3.1
1980/12,169.5,-0.3,2.5,-3.4,12.4,-9.5
1981/1,162.0,-4.9,-1.6,-8.6,1.4,-12.8
1981/2,41.0,-3.2,-0.2,-6.5,4.9,-13.2
1981/3,139.0,-0.5,2.8,-4.2,10.8,-11.4
1981/4,89.5,6.6,11.0,2.3,20.8,-2.7
1981/5,71.0,10.3,14.6,6.5,24.1,3.5
1981/6,50.0,14.9,19.9,11.3,27.7,5.4
1981/7,41.0,21.0,25.9,17.4,32.6,13.3
1981/8,644.0,20.9,24.6,17.6,34.0,14.2
1981/9,176.5,16.2,21.2,11.5,24.5,6.3
1981/10,80.5,11.0,16.1,5.9,23.5,0.9
1981/11,73.5,1.8,4.9,-1.0,14.4,-6.3
1981/12,103.5,-0.2,2.8,-3.3,8.7,-10.6
1982/1,122.0,-4.4,-1.5,-7.8,7.0,-13.4
1982/2,92.0,-4.6,-1.4,-8.3,5.3,-16.4
1982/3,98.0,0.7,4.0,-2.8,12.9,-7.4
1982/4,132.5,6.1,10.3,2.0,18.8,-4.2
1982/5,26.5,13.0,18.2,8.6,24.4,4.4
1982/6,52.5,15.8,20.9,11.0,27.4,6.4
1982/7,44.5,20.4,25.2,16.5,31.9,12.8
1982/8,47.0,22.8,26.8,20.0,30.8,17.6
1982/9,133.0,17.8,22.6,13.2,27.9,9.7
1982/10,118.5,12.5,17.6,7.3,23.1,2.2
1982/11,99.5,5.9,9.4,2.0,17.2,-7.6
1982/12,78.5,0.3,3.1,-2.7,8.4,-6.0
1983/1,64.0,-2.9,0.1,-6.1,8.4,-11.4
1983/2,126.0,-4.5,-1.4,-7.9,3.4,-13.5
1983/3,72.5,0.1,3.7,-3.6,12.5,-9.1
1983/4,24.5,9.5,14.5,5.3,20.8,1.0
1983/5,43.0,12.4,17.4,7.8,26.2,2.0
1983/6,59.0,13.6,17.3,10.6,21.8,6.4
1983/7,44.0,18.2,22.7,14.9,27.0,10.2
1983/8,97.0,22.3,26.5,19.1,34.8,13.4
1983/9,119.5,17.7,21.8,14.0,29.4,5.9
1983/10,88.5,9.7,14.0,5.3,21.8,0.0
1983/11,85.0,5.1,9.0,0.7,14.7,-5.6
1983/12,62.0,-1.8,1.6,-5.2,7.6,-11.5
1984/1,70.5,-4.7,-1.0,-8.5,3.4,-15.0
1984/2,148.5,-5.6,-2.4,-9.1,1.2,-15.1
