年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,88.5,5.6,10.0,1.7,18.8,-1.1
1980/2,26.0,5.2,9.2,1.3,13.3,-1.2
1980/3,173.5,8.2,12.0,4.9,21.2,1.3
1980/4,107.0,13.6,17.6,9.9,24.0,4.6
1980/5,154.5,19.2,23.4,15.2,29.5,9.6
1980/6,172.5,23.6,27.0,20.9,31.6,17.7
1980/7,202.0,23.8,27.4,21.1,33.0,16.4
1980/8,168.5,23.4,26.6,20.7,32.2,17.6
1980/9,181.5,23.0,26.1,20.3,31.9,13.2
1980/10,136.0,18.2,21.9,14.8,28.8,8.7
1980/11,133.5,13.0,16.8,9.2,21.8,5.1
1980/12,34.0,7.7,11.9,3.8,19.3,-0.7
1981/1,3.5,4.4,8.5,0.6,12.0,-2.2
1981/2,38.0,5.3,9.2,1.9,17.2,-3.5
1981/3,113.0,9.0,13.0,5.2,20.6,0.2
1981/4,166.0,13.9,18.0,9.5,23.9,2.7
1981/5,151.5,17.5,21.4,13.5,28.4,10.2
1981/6,103.0,20.2,23.6,17.2,32.0,12.4
1981/7,167.0,26.3,30.0,23.4,34.3,17.0
1981/8,133.0,26.2,30.0,23.4,33.9,20.0
1981/9,138.5,21.8,25.2,18.7,31.6,15.6
1981/10,343.5,17.6,21.1,14.4,26.7,10.1
1981/11,99.0,10.4,13.9,7.2,21.4,2.4
1981/12,7.5,7.6,11.7,3.8,16.2,0.4
1982/1,32.5,5.8,9.7,2.2,16.8,-1.0
1982/2,51.5,5.5,9.3,1.8,13.1,-1.0
1982/3,73.0,9.9,14.0,5.9,21.3,1.2
1982/4,134.0,14.0,17.8,10.0,23.2,4.7
1982/5,85.5,20.7,24.7,16.8,28.7,11.9
1982/6,224.5,21.4,24.9,18.2,29.4,14.8
1982/7,140.0,23.1,26.1,20.4,31.2,16.1
1982/8,152.5,27.1,30.2,24.6,33.0,22.0
1982/9,371.5,22.3,25.6,19.8,31.3,17.0
1982/10,159.5,18.0,21.6,14.6,27.3,9.5
1982/11,136.0,14.3,17.6,11.3,25.3,3.5
1982/12,15.0,9.5,13.0,5.7,20.9,1.4
1983/1,29.5,6.2,10.2,2.5,16.5,-2.4
1983/2,50.5,6.1,10.2,2.4,15.0,-0.9
1983/3,99.0,8.6,12.1,5.2,17.2,1.3
1983/4,114.5,15.9,20.3,12.1,26.8,7.8
1983/5,105.5,19.7,23.7,15.7,28.5,11.0
1983/6,198.0,20.5,24.2,17.1,29.8,13.6
1983/7,141.5,23.8,27.1,21.2,32.9,15.1
1983/8,168.5,27.5,31.0,24.6,37.1,21.2
1983/9,242.5,23.1,26.1,20.9,33.3,14.9
1983/10,130.0,17.7,21.2,14.3,27.9,7.3
1983/11,53.5,12.3,16.3,8.6,21.6,2.2
1983/12,7.5,7.1,11.1,3.3,17.3,-0.6
1984/1,50.0,3.7,7.5,0.2,14.6,-2.5
1984/2,51.0,3.0,6.3,0.0,12.8,-3.5
1984/3,69.0,5.9,10.2,2.0,19.1,-1.5
1984/4,64.0,11.6,16.0,7.9,24.0,1.8
1984/5,77.5,17.2,21.2,14.0,27.7,9.3
1984/6,202.0,21.8,24.9,19.2,31.5,16.5
1984/7,81.5,26.2,30.0,23.2,33.6,17.5
1984/8,31.5,28.6,32.4,25.7,35.0,21.8
1984/9,61.0,23.5,27.1,20.3,38.1,15.7
1984/10,73.5,17.7,21.2,14.6,30.4,7.7
1984/11,50.5,12.2,15.9,8.5,22.7,3.7
1984/12,68.0,7.7,11.5,4.0,19.8,-1.1
1985/1,4.5,4.1,8.1,0.5,13.5,-2.5
1985/2,142.0,6.5,10.2,3.1,14.7,-1.3
1985/3,134.5,7.8,11.2,4.8,20.3,1.3
1985/4,201.5,14.2,18.3,10.3,23.7,3.3
1985/5,89.5,19.1,23.0,15.7,26.5,12.2
1985/6,381.0,20.2,23.1,17.4,30.1,13.2
1985/7,115.0,26.3,30.2,23.3,34.3,19.7
1985/8,146.0,27.9,31.6,25.1,33.9,22.6
1985/9,106.0,23.1,26.1,20.4,35.0,14.5
1985/10,92.5,17.9,21.5,14.6,29.0,10.0
1985/11,85.5,13.3,17.1,9.1,24.5,3.6
1985/12,18.5,7.4,11.4,3.4,18.8,-0.5
