年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,108.5,5.2,9.7,0.9,21.7,-5.2
1980/2,28.0,4.2,9.1,-0.6,16.7,-6.0
1980/3,182.5,10.0,14.8,4.9,21.9,-1.1
1980/4,118.0,14.6,20.5,8.4,27.8,3.0
1980/5,292.5,19.4,25.4,13.2,31.2,4.8
1980/6,260.5,23.3,27.4,19.7,31.9,13.5
1980/7,740.0,25.8,29.3,23.0,34.1,17.6
1980/8,569.0,25.8,29.6,22.8,33.1,20.3
1980/9,249.0,22.7,27.5,18.7,32.1,12.4
1980/10,166.0,18.1,23.3,13.3,29.6,4.4
1980/11,12.5,12.8,19.2,7.0,27.0,0.8
1980/12,36.5,5.1,9.9,0.8,18.4,-4.1
1981/1,30.0,3.0,7.7,-1.5,14.8,-6.0
1981/2,81.5,5.7,10.8,1.0,19.9,-7.2
1981/3,130.0,10.0,15.1,5.1,22.9,-1.9
1981/4,136.0,15.0,20.3,9.5,26.1,0.8
1981/5,117.5,18.2,24.3,12.4,29.4,7.1
1981/6,489.0,23.2,27.7,19.3,32.5,10.6
1981/7,202.0,27.6,32.5,24.0,35.1,20.3
1981/8,141.5,27.1,32.0,22.9,35.7,17.7
1981/9,132.5,23.1,28.3,18.7,35.6,14.1
1981/10,200.0,17.5,22.7,12.7,28.0,5.0
1981/11,119.0,10.7,15.6,6.2,23.6,-0.1
1981/12,20.0,6.7,12.2,1.7,18.3,-3.2
1982/1,29.0,4.6,9.6,-0.3,17.0,-5.1
1982/2,96.0,6.2,11.1,1.4,15.1,-3.9
1982/3,109.5,11.2,16.6,5.9,23.4,-1.8
1982/4,108.0,15.0,20.8,9.2,26.8,0.9
1982/5,136.0,20.5,25.8,15.6,30.9,8.9
1982/6,79.0,23.0,28.5,18.1,32.8,12.9
1982/7,1263.0,25.3,29.3,22.0,35.7,16.9
1982/8,96.5,27.1,32.1,23.3,34.6,19.2
1982/9,118.0,23.0,28.0,19.1,33.5,12.9
1982/10,53.0,18.7,24.9,13.2,29.9,3.7
1982/11,156.0,14.5,18.9,10.5,23.1,1.5
1982/12,40.5,7.3,12.4,2.7,18.6,-1.8
