年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,172.5,-0.1,2.6,-2.8,9.8,-6.6
1980/2,50.5,-1.4,1.1,-4.0,6.5,-8.1
1980/3,83.0,2.5,6.2,-1.5,17.1,-5.8
1980/4,160.5,8.2,12.7,3.6,22.1,-1.4
1980/5,152.5,14.6,19.7,9.7,31.8,3.4
1980/6,130.0,19.9,23.9,15.8,29.8,9.7
1980/7,182.5,21.4,24.8,18.3,29.0,15.2
1980/8,243.0,22.3,26.5,18.7,30.2,16.5
1980/9,79.0,19.2,23.7,15.0,32.9,8.9
1980/10,152.5,13.2,17.4,9.0,22.8,2.0
1980/11,66.0,8.6,13.1,4.4,18.2,-0.4
1980/12,203.0,2.3,4.9,-0.5,13.5,-5.5
1981/1,64.5,-1.2,1.0,-3.8,5.5,-11.8
1981/2,80.0,0.4,3.0,-2.3,7.5,-7.0
1981/3,97.0,3.1,6.9,-0.7,15.4,-5.0
1981/4,122.5,9.1,13.4,4.6,23.6,-2.1
1981/5,146.0,12.7,16.7,8.4,26.8,3.4
1981/6,217.0,17.6,21.2,14.3,26.7,9.6
1981/7,346.5,23.7,27.1,20.7,35.0,14.4
1981/8,319.5,23.1,27.0,19.7,31.1,16.1
1981/9,99.5,17.9,22.6,13.7,26.5,8.7
1981/10,211.5,13.1,17.7,8.7,22.0,4.7
1981/11,168.0,4.9,8.1,2.0,18.8,-2.6
1981/12,245.5,2.8,5.6,0.0,13.5,-3.3
1982/1,122.0,-0.2,2.4,-2.7,7.8,-7.2
1982/2,67.0,-1.0,1.7,-3.5,7.9,-6.6
1982/3,101.0,3.5,7.4,-0.5,16.0,-4.6
1982/4,151.5,9.7,14.3,5.0,22.6,-0.3
1982/5,218.0,14.6,18.7,10.4,24.0,5.8
1982/6,107.0,17.9,22.0,13.6,29.0,9.1
1982/7,109.0,22.3,26.8,17.9,32.9,13.0
1982/8,146.0,24.6,28.2,21.5,32.8,16.9
1982/9,148.5,19.1,23.6,15.0,28.7,9.9
1982/10,104.0,14.3,19.6,9.1,24.5,4.8
1982/11,174.5,8.3,12.4,4.2,17.3,-2.9
1982/12,226.5,3.7,6.8,0.9,15.3,-2.8
1983/1,96.0,1.0,3.5,-1.5,12.1,-4.4
1983/2,71.0,-0.5,2.1,-3.2,7.7,-7.7
1983/3,87.5,3.2,7.4,-1.0,15.6,-5.1
1983/4,139.5,11.6,16.2,6.8,26.4,1.0
1983/5,98.0,14.4,19.1,9.5,27.9,3.2
1983/6,103.5,17.3,21.1,13.6,26.7,6.1
1983/7,160.5,20.9,24.0,18.0,27.1,12.5
1983/8,133.5,25.3,29.3,21.7,34.1,18.2
1983/9,136.0,20.4,25.1,16.4,31.2,8.1
1983/10,139.5,11.9,16.2,7.7,22.0,2.2
1983/11,177.0,6.7,11.4,2.7,17.2,-3.5
1983/12,160.5,1.3,4.2,-1.6,12.2,-7.0
1984/1,96.0,-1.8,0.7,-4.4,5.6,-9.1
1984/2,77.0,-2.3,0.0,-4.9,3.9,-9.1
1984/3,79.5,0.4,3.3,-2.9,9.1,-8.4
1984/4,104.0,7.3,12.3,2.5,24.5,-4.7
1984/5,95.0,13.5,17.6,9.9,25.5,5.8
1984/6,98.5,20.6,24.8,16.8,29.9,12.0
1984/7,208.0,24.3,27.9,21.2,34.6,17.1
1984/8,83.0,25.3,30.1,21.0,35.7,16.9
1984/9,228.0,18.9,23.3,14.9,27.3,8.1
1984/10,159.5,12.2,16.8,7.7,22.8,2.6
1984/11,123.0,6.7,10.9,2.8,18.4,-0.7
1984/12,107.5,1.9,4.9,-0.9,16.6,-8.9
1985/1,88.5,-2.7,-0.3,-5.2,5.4,-8.0
1985/2,103.0,0.5,3.2,-2.4,7.1,-7.8
1985/3,99.5,2.6,6.3,-1.1,12.3,-4.1
1985/4,97.5,10.3,15.1,5.8,22.4,1.6
1985/5,124.0,14.5,18.9,10.0,24.2,5.3
1985/6,36.0,18.6,22.8,14.5,29.0,9.7
1985/7,275.0,22.3,25.7,19.5,32.7,14.9
1985/8,115.0,27.3,31.6,23.2,35.2,20.1
1985/9,251.5,19.4,23.5,15.7,32.0,8.9
1985/10,179.5,13.3,17.4,9.5,24.9,3.1
1985/11,300.0,7.9,11.2,4.3,21.9,-1.4
1985/12,157.0,1.0,3.7,-1.6,12.7,-8.6
1986/1,111.0,-1.6,0.9,-3.9,5.6,-8.9
1986/2,91.5,-1.6,0.9,-4.4,5.5,-8.3
1986/3,80.5,2.8,6.2,-0.7,13.7,-9.9
1986/4,128.5,9.4,13.3,5.4,21.7,-0.5
1986/5,115.0,13.8,18.4,9.5,26.5,5.6
1986/6,62.5,18.4,22.7,14.3,27.9,9.5
1986/7,168.5,20.4,24.0,17.3,31.8,14.4
1986/8,118.0,24.5,28.8,20.6,34.5,16.7
