年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,116.5,16.3,18.6,14.2,25.1,10.3
1980/2,107.5,15.1,17.8,13.0,23.3,10.0
1980/3,105.5,19.1,21.9,16.6,26.2,13.1
1980/4,525.0,20.5,22.8,18.3,26.2,13.8
1980/5,97.0,23.9,26.5,21.6,30.0,17.0
1980/6,20.0,27.6,30.4,25.5,32.3,22.1
1980/7,101.5,28.7,31.3,26.8,32.8,25.0
1980/8,89.5,28.8,31.7,26.4,34.0,24.1
1980/9,154.0,27.3,29.9,25.1,32.2,21.3
1980/10,203.0,24.2,27.0,21.8,30.1,16.4
1980/11,197.5,21.8,24.3,19.4,27.7,15.0
1980/12,38.0,16.8,19.1,14.5,25.0,11.0
1981/1,52.0,15.0,17.4,12.8,22.3,9.9
1981/2,66.5,16.3,19.0,13.9,24.9,8.8
1981/3,376.0,18.9,21.8,16.3,25.7,12.2
1981/4,93.0,21.6,24.4,19.0,27.9,15.3
1981/5,198.0,22.6,25.4,20.3,28.9,16.6
1981/6,43.0,26.1,28.7,24.2,32.3,18.7
1981/7,167.5,28.1,31.1,25.8,33.4,23.3
1981/8,181.0,28.6,31.3,26.5,33.1,24.2
1981/9,62.0,26.8,29.3,24.9,31.7,23.3
1981/10,137.5,24.5,27.2,22.2,30.6,17.1
1981/11,71.0,21.1,23.9,18.6,28.2,15.6
1981/12,76.5,17.3,19.9,14.8,23.3,12.2
1982/1,68.0,15.6,18.4,13.1,24.1,9.7
1982/2,140.0,16.9,19.5,14.6,23.2,11.0
1982/3,98.0,19.8,22.4,17.6,26.3,11.4
1982/4,123.5,20.2,22.9,17.7,25.5,14.2
1982/5,268.5,24.7,27.2,22.4,30.1,17.8
1982/6,269.0,25.5,27.9,23.5,30.4,18.3
1982/7,86.0,28.6,31.2,26.8,33.0,21.2
1982/8,195.5,28.0,30.8,25.8,32.6,23.3
1982/9,299.5,26.7,29.4,24.6,31.8,21.0
1982/10,49.0,24.2,26.9,21.9,29.3,17.7
1982/11,199.0,22.5,25.2,20.1,27.6,15.7
1982/12,180.5,18.1,20.7,15.5,25.0,12.4
1983/1,163.5,17.1,19.5,14.7,23.4,10.9
1983/2,176.5,15.9,18.1,13.9,23.9,10.4
1983/3,420.0,18.4,21.1,15.9,25.9,10.7
1983/4,143.5,23.0,25.6,20.9,29.4,14.0
1983/5,261.5,24.3,26.9,22.2,29.8,18.3
1983/6,161.0,26.3,28.7,24.2,30.7,19.7
1983/7,220.0,28.7,31.3,26.8,33.2,22.5
1983/8,288.5,28.6,31.3,26.4,33.3,24.9
1983/9,384.5,28.2,30.9,25.8,32.3,24.2
1983/10,25.5,26.2,29.0,24.1,31.0,20.6
1983/11,5.0,21.0,23.5,18.7,27.7,15.3
1983/12,44.5,17.0,19.5,14.6,24.4,10.8
1984/1,111.5,15.2,17.8,12.8,22.8,10.0
1984/2,42.0,15.6,18.1,13.3,24.4,8.7
1984/3,205.5,17.5,20.0,14.9,25.4,9.3
1984/4,145.0,20.7,23.1,18.5,26.7,14.5
1984/5,215.5,23.2,25.8,21.0,27.8,18.5
1984/6,97.5,27.0,29.5,25.3,31.7,22.9
1984/7,97.5,28.5,31.2,26.5,32.7,24.3
1984/8,403.0,28.2,30.8,26.2,32.6,24.8
1984/9,96.5,27.3,30.4,25.1,31.4,23.0
1984/10,84.0,24.3,26.9,22.0,30.6,16.8
1984/11,119.0,22.3,25.0,20.2,29.3,16.6
1984/12,71.0,18.3,20.6,16.0,25.1,11.2
1985/1,46.0,16.2,18.8,13.8,22.8,9.4
1985/2,281.0,17.3,19.5,15.0,23.9,11.0
1985/3,64.0,19.4,22.1,17.1,26.0,12.9
1985/4,152.5,20.2,22.8,17.6,25.5,12.6
1985/5,152.0,24.6,27.4,22.5,29.9,19.8
1985/6,181.0,25.9,28.2,24.1,31.1,21.1
1985/7,107.5,28.0,30.9,25.9,32.2,24.0
