年月,降水量(mm),日の平均気温(℃),日の最高気温(℃),日の最低気温(℃),最高気温(℃),最低気温(℃)
1980/1,86.0,5.8,11.3,1.0,19.6,-4.3
1980/2,24.0,5.3,11.3,-0.1,16.4,-4.7
1980/3,170.0,10.1,15.3,5.4,23.0,1.5
1980/4,235.5,14.8,20.0,9.7,24.9,3.5
1980/5,407.5,19.5,24.5,14.6,31.2,6.1
1980/6,279.0,23.4,27.9,19.8,33.1,13.9
1980/7,342.0,25.4,29.4,22.3,33.3,18.4
1980/8,506.0,25.5,29.3,23.0,32.7,20.7
1980/9,232.0,23.6,28.5,19.4,32.4,14.2
1980/10,289.5,18.4,23.7,13.9,29.4,5.4
1980/11,235.5,13.7,19.8,8.6,24.5,1.9
1980/12,30.5,5.7,11.9,0.9,19.8,-3.7
1981/1,5.5,3.3,9.8,-2.2,14.6,-4.9
1981/2,109.0,6.9,13.0,1.6,20.9,-5.6
1981/3,202.0,11.7,16.9,6.8,24.6,-0.1
1981/4,296.5,15.9,21.7,10.1,26.6,2.9
1981/5,115.0,18.3,23.4,13.0,27.5,7.4
1981/6,170.5,22.8,26.9,19.3,34.7,11.5
1981/7,367.5,26.8,30.9,23.8,35.0,21.5
1981/8,292.0,26.7,31.1,23.0,34.7,17.9
1981/9,192.5,22.8,27.5,19.1,31.4,14.0
1981/10,115.5,17.8,23.1,13.0,29.0,5.0
1981/11,116.5,11.7,17.1,7.2,23.9,1.4
1981/12,15.5,7.9,14.1,2.9,19.0,-0.9
1982/1,61.5,5.2,10.9,0.2,17.5,-3.8
1982/2,59.5,6.8,12.2,2.1,22.1,-2.2
1982/3,261.5,11.4,16.7,6.0,22.8,0.1
1982/4,193.5,14.3,19.3,9.4,24.5,3.4
1982/5,228.5,19.9,24.7,15.3,28.0,9.2
1982/6,119.0,22.1,26.8,17.8,29.4,12.9
1982/7,675.5,23.9,27.5,20.9,31.5,15.8
1982/8,324.5,26.3,30.8,22.9,33.6,19.9
1982/9,305.5,23.0,27.4,19.6,33.1,15.8
1982/10,42.0,18.5,24.0,13.7,28.5,6.3
1982/11,286.0,14.9,19.9,10.6,25.7,3.1
1982/12,28.0,8.0,13.7,3.4,18.6,-1.2
